question,possible_answers,subject,predicate,object,object_surfaceform,triple,sub_pred,subject_label,predicate_label,object_label
What country is the Rhein-Erft District located in?,"[""GER"", ""Deutschland"", ""Bundesrepublik Deutschland"", ""Germany"", ""DE"", ""de"", ""FRG"", ""BR Deutschland"", ""Federal Republic of Germany"", ""BRD""]",Q6292,P17,Q183,Germany,Q6292 P17 Q183,Q6292 P17,Rhein-Erft District,country,Germany
Who is the father of the Okeanid?,"[""Okeanos"", ""Oceanus""]",Q182406,P22,Q161419,Oceanus,Q182406 P22 Q161419,Q182406 P22,Okeanid,father,Oceanus
What country is Qaleh Qazi District located in?,"[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q7266323,P17,Q794,Iran,Q7266323 P17 Q794,Q7266323 P17,Qaleh Qazi District,country,Iran
Who composed the Cello Suites?,"[""J.S. Bach"", ""J. S. Bach"", ""Johann Sebastian Bach"", ""Bach"", ""J S Bach""]",Q756843,P86,Q1339,Johann Sebastian Bach,Q756843 P86 Q1339,Q756843 P86,Cello Suites,composer,Johann Sebastian Bach
What type of food culture is pilaf a part of?,"["""", ""Tajik cuisine"", ""cuisine of Turkey"", ""Turkish food"", ""cuisine of Kyrgyzstan"", ""Kazakh cuisine"", ""cuisine of Armenia"", ""Uzbek cuisine"", ""cuisine of Afghanistan"", ""Azerbaijani cuisine"", ""cuisine of Azerbaijan"", ""cuisine of Iran"", ""Turkmen cuisine"", ""Bengali cuisine"", ""Armenian food"", ""cuisine of Iranian people"", ""Tajik food"", ""cuisine of Tajikistan"", ""cuisine of Kazakhstan"", ""Kazakh food"", ""Iranian cuisine"", ""Kyrgyz cuisine"", ""Iranian food"", ""Afghan cuisine"", ""Armenian cuisine"", ""cuisine of Uzbekistan"", ""Turkish cuisine"", ""persian cuisine"", ""Uzbek food"", ""Kyrgyz food""]",Q485796,P2012,Q654493,Turkish cuisine,Q485796 P2012 Q654493,Q485796 P2012,pilaf,cuisine,Turkish cuisine
What genre is alt-J known for?,"[""independent rock"", ""indie pop music"", ""art rock"", ""folktronica"", ""indiepop"", ""indie pop"", ""Art Rock"", ""indie-pop"", ""indie rock"", ""laptop folk""]",Q47996,P136,Q183504,indie rock,Q47996 P136 Q183504,Q47996 P136,alt-J,genre,indie rock
What is the color of the film noir?,"[""black-and-white cinema"", ""B/W"", ""colorless cinema"", ""black-and-white"", ""black and white"", ""B&W"", ""black and white film""]",Q185867,P462,Q838368,black-and-white,Q185867 P462 Q838368,Q185867 P462,film noir,color,black and white
What country recognizes Antonio Domingos Brescovit as its citizen?,"[""Federative Republic of Brazil"", ""br"", ""BRA"", ""BR"", ""Brazil"", ""\ud83c\udde7\ud83c\uddf7""]",Q2857261,P27,Q155,Brazil,Q2857261 P27 Q155,Q2857261 P27,Antonio Domingos Brescovit,country of citizenship,Brazil
What country is Enderta located in?,"[""et"", ""ETH"", ""Federal Democratic Republic of Ethiopia"", ""Ethiopia"", ""\ud83c\uddea\ud83c\uddf9""]",Q2917913,P17,Q115,Ethiopia,Q2917913 P17 Q115,Q2917913 P17,Enderta,country,Ethiopia
What religion is associated with the megachurch?,"[""Christian Protestantism"", ""Pentecostal"", ""Protestant churches"", ""Protestant religion"", ""Classical Pentecostalism"", ""Pentecostalism"", ""Protestantism"", ""Protestant"", ""Protestant Church"", ""Protestants"", ""Protestant Christianity""]",Q781549,P140,Q483978,Pentecostal,Q781549 P140 Q483978,Q781549 P140,megachurch,religion,Pentecostalism
Who is Krishan Kumar a relative of?,"[""Bhushan Kumar Dua"", ""Bhushan Kumar""]",Q43396416,P1038,Q4902221,Bhushan Kumar,Q43396416 P1038 Q4902221,Q43396416 P1038,Krishan Kumar,relative,Bhushan Kumar
Who is the composer of A German Requiem?,"[""G. W. Marks"", ""Brahms"", ""Johannes Brahms""]",Q756299,P86,Q7294,Brahms,Q756299 P86 Q7294,Q756299 P86,A German Requiem,composer,Johannes Brahms
Who is the author of the His Dark Materials trilogy?,"[""Sir Philip Pullman"", ""Philip Pullman""]",Q129240,P50,Q190220,Philip Pullman,Q129240 P50 Q190220,Q129240 P50,His Dark Materials trilogy,author,Philip Pullman
"What country is Gamasiyab Rural District, located in Hamadan, part of?","[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q4254124,P17,Q794,Iran,Q4254124 P17 Q794,Q4254124 P17,Gamasiyab Rural District,country,Iran
What country is the Barrackpore II community development block located in?,"[""Bharat"", ""India"", ""Aryavratt"", ""\ud83c\uddee\ud83c\uddf3"", ""Republic of India"", ""Bharatvarsh"", ""Hindustan"", ""IN"", ""in"", ""IND""]",Q4863170,P17,Q668,India,Q4863170 P17 Q668,Q4863170 P17,Barrackpore II community development block,country,India
What is the country of Machine Sazi Dabiri Tabriz F.C.?,"[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q555262,P17,Q794,Iran,Q555262 P17 Q794,Q555262 P17,Machine Sazi Dabiri Tabriz F.C.,country,Iran
What sport does S.S.D. Pro Sesto Calcio participate in?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""footballer"", ""futbol"", ""soccer""]",Q2703612,P641,Q2736,footballer,Q2703612 P641 Q2736,Q2703612 P641,S.S.D. Pro Sesto Calcio,sport,association football
What was the occupation of the list of geometers in the French Bureau du Cadastre?,"[""mathematician""]",Q3235798,P106,Q170790,mathematician,Q3235798 P106 Q170790,Q3235798 P106,list of geometers,occupation,mathematician
Who is the father of Keoloewaakamauaua?,"[""Kamauaua""]",Q6393040,P22,Q6356195,Kamauaua,Q6393040 P22 Q6356195,Q6393040 P22,Keoloewaakamauaua,father,Kamauaua
What religion was Ballington Booth associated with as a minister?,"[""Christian"", ""Christianity"", ""Christian faith""]",Q1423891,P140,Q5043,Christian,Q1423891 P140 Q5043,Q1423891 P140,minister,religion,Christianity
"Who directed the film ""Romeo + Juliet""?","[""Mark Anthony Luhrmann"", ""Baz Luhrmann's"", ""Baz Luhrmann""]",Q463313,P57,Q250545,Baz Luhrmann's,Q463313 P57 Q250545,Q463313 P57,Romeo + Juliet,director,Baz Luhrmann
What sport is associated with the list of Brazilian football teams?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""futbol"", ""soccer""]",Q2395008,P641,Q2736,football,Q2395008 P641 Q2736,Q2395008 P641,list of Brazilian football teams,sport,association football
What character appears in The Hitchhiker's Guide to the Galaxy pentalogy?,"[""Fenchurch"", ""Arthur Philip Dent"", ""Marvin the Paranoid Android"", ""Tricia Marie McMillan"", ""Tricia McMillan"", ""Trillian Astra"", ""Ford Prefect"", ""Zaphod Beeblebrox"", ""Arthur Dent"", ""The Paranoid Android"", ""Trillian"", ""Marvin""]",Q25169,P674,Q613901,Arthur Dent,Q25169 P674 Q613901,Q25169 P674,The Hitchhiker's Guide to the Galaxy pentalogy,characters,Arthur Dent
What organization or person is responsible for publishing the list of Most Wanted Nazi War Criminals according to the Simon Wiesenthal Center?,"[""Simon Wiesenthal Center""]",Q6590784,P123,Q311474,Simon Wiesenthal Center,Q6590784 P123 Q311474,Q6590784 P123,list of Most Wanted Nazi War Criminals according to the Simon Wiesenthal Center,publisher,Simon Wiesenthal Center
What is the religion associated with the pontifical university founded by U?,"[""Roman Apostolic Catholic Church"", ""Catholic Church"", ""Roman Catholic Church"", ""Church""]",Q2120466,P140,Q9592,Catholic Church,Q2120466 P140 Q9592,Q2120466 P140,pontifical university,religion,Catholic Church
What sport does the 2020–21 Pro14 Rainbow Cup participate in?,"[""rugby"", ""rugby union""]",Q105760515,P641,Q5849,rugby union,Q105760515 P641 Q5849,Q105760515 P641,2020–21 Pro14 Rainbow Cup,sport,rugby union
What genre does Terry McBride work in?,"[""country & western"", ""country and western"", ""Nashville sound"", ""country music"", ""country""]",Q7704762,P136,Q83440,country music,Q7704762 P136 Q83440,Q7704762 P136,Terry McBride,genre,country music
What religion was Tsongkhapa Lobzang Drakpa associated with?,"[""Tibetan Buddhism"", ""Vajrayana"", ""Gelugpa"", ""Geluk"", ""Grand Lamaism"", ""Gelug"", ""Sutrayana"", ""Lamaism""]",Q323439,P140,Q319218,Gelugpa,Q323439 P140 Q319218,Q323439 P140,Tsongkhapa Lobzang Drakpa,religion,Gelug
What is the capital of Davie County?,"[""Mocksville"", ""Mocksville, North Carolina""]",Q509786,P36,Q1958011,"Mocksville, North Carolina",Q509786 P36 Q1958011,Q509786 P36,Davie County,capital,Mocksville
What was the occupation of Umar ibn Al-Khattāb?,"[""Companions of the Prophet"", ""Im\u00e2m"", ""Sahabah"", ""caliphs"", ""statesperson"", ""Al Sahabah"", ""church leader"", ""Al Sahaba"", ""Rashidun Caliphate"", ""congregation leader"", ""El Sahaba"", ""religious leader"", ""a\u1e63-\u1e63a\u1e25\u0101bah"", ""statesman"", ""El Sahabah"", ""stateswoman"", ""congregational leader"", ""caliph"", ""imam""]",Q8467,P106,Q12490507,Rashidun Caliphate,Q8467 P106 Q12490507,Q8467 P106,Umar ibn Al-Khattāb,occupation,Rashidun Caliphate
What was Ole Olsen Scheistrøen's occupation?,"[""architect""]",Q11993683,P106,Q42973,architect,Q11993683 P106 Q42973,Q11993683 P106,Ole Olsen Scheistrøen,occupation,architect
"What specific industry is Brookstone, a retail chain, in?","[""retail"", ""retail industry"", ""retail store"", ""retail sales"", ""retailing"", ""retail trade""]",Q507619,P452,Q126793,retail store,Q507619 P452 Q126793,Q507619 P452,retail chain,industry,retail
Where was Thomas Henry Fallon born?,"[""Malden, Massachusetts"", ""Malden""]",Q7790280,P19,Q54149,"Malden, Massachusetts",Q7790280 P19 Q54149,Q7790280 P19,Thomas Henry Fallon,place of birth,Malden
What was Fritz Kraenke's (1890–1947) profession?,"[""artistic coordinator"", ""art director""]",Q22018811,P106,Q706364,art director,Q22018811 P106 Q706364,Q22018811 P106,Fritz Kraenke,occupation,art director
Where was Vangal Thiruvenkatachari Krishnamachari born?,"[""Vangal""]",Q7906269,P19,Q7914754,Vangal,Q7906269 P19 Q7914754,Q7906269 P19,Vangal Thiruvenkatachari Krishnamachari,place of birth,Vangal
What organization or person is responsible for publishing the Romance of the Three Kingdoms series?,"[""Koei Co."", ""Koei"", ""Koei Co., Ltd.""]",Q904990,P123,Q845047,Koei,Q904990 P123 Q845047,Q904990 P123,Romance of the Three Kingdoms series,publisher,Koei
What country is Now Bandegan District located in?,"[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q4814760,P17,Q794,Iran,Q4814760 P17 Q794,Q4814760 P17,Now Bandegan District,country,Iran
What is the capital of Schuyler County in New York?,"[""Watkins Glen"", ""Watkins Glen, New York""]",Q71190,P36,Q2738851,Watkins Glen,Q71190 P36 Q2738851,Q71190 P36,Schuyler County,capital,Watkins Glen
"What is the capital of Genesee County, located in Michigan, United States?","[""Flint"", ""Flint, Michigan""]",Q497695,P36,Q490584,Flint,Q497695 P36 Q490584,Q497695 P36,Genesee County,capital,Flint
What religion is Gampopa Sonam Rinchen associated with?,"[""Tibetan Buddhism"", ""Tibetan Buddhist"", ""Whispered Transmission"", ""Vajrayana"", ""Oral Lineage"", ""Whispered Transmission school"", ""Kagyu"", ""Grand Lamaism"", ""bka' brgyud"", ""Kagyud"", ""Kagy\u00fc"", ""\u0f56\u0f40\u0f60\u0f0b\u0f56\u0f62\u0f92\u0fb1\u0f74\u0f51"", ""Sutrayana"", ""Lamaism""]",Q453191,P140,Q483889,Tibetan Buddhist,Q453191 P140 Q483889,Q453191 P140,Gampopa Sonam Rinchen,religion,Tibetan Buddhism
What was Francis Preserved Leavenworth's occupation?,"[""astronomer""]",Q520937,P106,Q11063,astronomer,Q520937 P106 Q11063,Q520937 P106,Francis Preserved Leavenworth,occupation,astronomer
What country is Behdasht Rural District located in?,"[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q869333,P17,Q794,Iran,Q869333 P17 Q794,Q869333 P17,Behdasht Rural District,country,Iran
What country is the Jerez Circuit located in?,"[""ES"", ""Espa\u00f1a"", ""Kingdom of Spain"", ""Spain"", ""ESP""]",Q172884,P17,Q29,Spain,Q172884 P17 Q29,Q172884 P17,Jerez Circuit,country,Spain
Who is the composer of Canon and Gigue in D?,"[""Johann Pachelbel"", ""Johan Chrispontius Pechbel""]",Q689519,P86,Q76485,Johann Pachelbel,Q689519 P86 Q76485,Q689519 P86,Canon and Gigue in D,composer,Johann Pachelbel
What sport does Club Atlético San Martín de San Juan participate in?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""futbol"", ""soccer""]",Q80921,P641,Q2736,football,Q80921 P641 Q2736,Q80921 P641,Club Atlético San Martín de San Juan,sport,association football
What sport does FC LNZ-Lebedyn participate in?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""futbol"", ""soccer""]",Q55189861,P641,Q2736,football,Q55189861 P641 Q2736,Q55189861 P641,FC LNZ-Lebedyn,sport,association football
What sport does RK Celje Pivovarna Laško participate in?,"[""Pallammanu"", ""European handball"", ""European team handball"", ""Olympic handball"", ""team handball"", ""Borden ball"", ""handball""]",Q286001,P641,Q8418,team handball,Q286001 P641 Q8418,Q286001 P641,RK Celje Pivovarna Laško,sport,handball
What was Ruđer Josip Bošković's occupation?,"[""religious scholar"", ""poetess"", ""geographer"", ""priest"", ""Renaissance man"", ""physicist"", ""theologian"", ""lecturer"", ""professor"", ""college teacher"", ""diplomat"", ""university tutor"", ""philosopher"", ""college professor"", ""bard"", ""college lecturer"", ""poet"", ""university lecturer"", ""historiographer"", ""mathematician"", ""historians"", ""polymath"", ""reverend"", ""university professor"", ""priestess"", ""tutor"", ""astronomer"", ""historian"", ""university teacher""]",Q310757,P106,Q270141,polymath,Q310757 P106 Q270141,Q310757 P106,Ruđer Josip Bošković,occupation,polymath
What is the country of the statistical region of Slovenia?,"[""Republic of Slovenia"", ""\ud83c\uddf8\ud83c\uddee"", ""Republika Slovenija"", ""SLO"", ""slo"", ""Slovenia"", ""svn"", ""Slovenija"", ""si""]",Q1474320,P17,Q215,Slovenia,Q1474320 P17 Q215,Q1474320 P17,statistical region of Slovenia,country,Slovenia
What country recognizes Luis Moglia Barth as its citizen?,"[""ar"", ""AR"", ""Argentina"", ""Argentine Republic"", ""\ud83c\udde6\ud83c\uddf7"", ""ARG"", ""Republic of Argentina"", ""Argentine""]",Q6700890,P27,Q414,Argentine,Q6700890 P27 Q414,Q6700890 P27,Luis Moglia Barth,country of citizenship,Argentina
What is the country of citizenship of Zoja Golubeva?,"[""\ud83c\uddf1\ud83c\uddfb"", ""U.S.S.R"", ""\ud83c\udde7\ud83c\uddfe"", ""Soviets"", ""Latvija"", ""CCCP"", ""SU"", ""Belarus"", ""by"", ""LAT"", ""Byelorussia"", ""Union of Soviet Socialist Republics"", ""the Union of Soviet Socialist Republics"", ""Bielorussia"", ""Republic of Belarus"", ""BLR"", ""The Soviets"", ""Byeloruss"", ""LVA"", ""White Russia"", ""Soviet Union"", ""Belorussia"", ""USSR"", ""Latvia"", ""U.S.S.R."", ""lv"", ""Republic of Latvia"", ""Latvian Republic"", ""the Soviet Union"", ""White Ruthenia""]",Q2503750,P27,Q211,Latvia,Q2503750 P27 Q211,Q2503750 P27,Zoja Golubeva,country of citizenship,Latvia
What religion is associated with the Ancient Diocese of Trebinje-Mrkan?,"[""Roman Apostolic Catholic Church"", ""Catholic Church"", ""Roman Catholic Church"", ""Catholic"", ""Church""]",Q877462,P140,Q9592,Catholic,Q877462 P140 Q9592,Q877462 P140,Ancient Diocese of Trebinje-Mrkan,religion,Catholic Church
What is the capital of Canton Aargau?,"[""Aarau"", ""Aarau AG""]",Q11972,P36,Q14274,Aarau,Q11972 P36 Q14274,Q11972 P36,Canton Aargau,capital,Aarau
"What is the country of Poshtkuh Rural District, located in Semnan?","[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q7233163,P17,Q794,Iran,Q7233163 P17 Q794,Q7233163 P17,Poshtkuh Rural District,country,Iran
Where was Alfred de Liechtenstein born?,"[""W"", ""Wien"", ""Vienna"", ""Vienna, Austria""]",Q16403716,P19,Q1741,Vienna,Q16403716 P19 Q1741,Q16403716 P19,Alfred de Liechtenstein,place of birth,Vienna
"What country is Park County, located in Colorado?","[""the US"", ""the States"", ""U. S."", ""America"", ""the United States"", ""US of A"", ""U. S. A."", ""United States of America"", ""US"", ""U.S"", ""U.S."", ""the USA"", ""'Merica"", ""'Murica"", ""U.S.A."", ""USA"", ""United States"", ""the U.S."", ""the United States of America""]",Q312742,P17,Q30,United States,Q312742 P17 Q30,Q312742 P17,Park County,country,United States of America
What sport is L'Open 35 de Saint-Malo (ITF) associated with?,"[""tennis"", ""lawntennis"", ""lawn tennis""]",Q4339756,P641,Q847,tennis,Q4339756 P641 Q847,Q4339756 P641,L'Open 35 de Saint-Malo (ITF),sport,tennis
What religion is the church congregation associated with?,"[""Christian"", ""Christianity"", ""Christian faith""]",Q2638480,P140,Q5043,Christian,Q2638480 P140 Q5043,Q2638480 P140,church congregation,religion,Christianity
Who is the composer of The Pearl Fishers?,"[""Alexandre C\u00e9sar L\u00e9opold Bizet"", ""Georges Bizet"", ""Alexandre Cesar Leopold Bizet""]",Q56159,P86,Q56158,Georges Bizet,Q56159 P86 Q56158,Q56159 P86,The Pearl Fishers,composer,Georges Bizet
What sport is aquathlon associated with in South Africa?,"[""triathlon""]",Q1547240,P641,Q10980,triathlon,Q1547240 P641 Q10980,Q1547240 P641,aquathlon,sport,triathlon
What was Kurt Herlth's occupation?,"[""production designer"", ""artistic coordinator"", ""art director""]",Q1393331,P106,Q706364,art director,Q1393331 P106 Q706364,Q1393331 P106,Kurt Herlth,occupation,art director
"What country recognizes Lau Lauritzen, a film director from 1878–1938, as a citizen?","[""Danish"", ""dk"", ""DNK"", ""DEK"", ""Kingdom of Denmark"", ""Denmark"", ""\ud83c\udde9\ud83c\uddf0"", ""Danmark"", ""TAN"", ""DK"", ""metropolitan Denmark"", ""DEN"", ""Denmark proper"", ""Realm of Denmark""]",Q1360773,P27,Q35,Danish,Q1360773 P27 Q35,Q1360773 P27,Lau Lauritzen,country of citizenship,Denmark
What was Hartvig Sverdrup Eckhoff's occupation?,"[""architect""]",Q11974385,P106,Q42973,architect,Q11974385 P106 Q42973,Q11974385 P106,Hartvig Sverdrup Eckhoff,occupation,architect
What sport is the Moldovan women's football championship associated with?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""futbol"", ""soccer""]",Q2951924,P641,Q2736,football,Q2951924 P641 Q2736,Q2951924 P641,Moldovan women's football championship,sport,association football
